stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
54978,54978,Jean-Talon / Valdombre,45.586899,-73.578933,https://www.stm.info/fr/recherche#stq=54978,0,,1
54979,54979,Langelier / Métropolitain (coin Sud-Est),45.593167,-73.577298,https://www.stm.info/fr/recherche#stq=54979,0,,1
54980,54980,Langelier / Métropolitain (coin Nord-Ouest),45.593757,-73.579284,https://www.stm.info/fr/recherche#stq=54980,0,,1
54981,54981,Métropolitain / Langelier,45.593486,-73.577150,https://www.stm.info/fr/recherche#stq=54981,0,,1
54982,54982,Métropolitain / Langelier,45.593931,-73.578739,https://www.stm.info/fr/recherche#stq=54982,0,,1
54983,54983,de l'Assomption / des Becquets,45.579857,-73.577689,https://www.stm.info/fr/recherche#stq=54983,0,,1
54984,54984,de l'Assomption / des Becquets,45.579869,-73.578058,https://www.stm.info/fr/recherche#stq=54984,0,,1
54985,54985,Jean-Talon / Villanelle,45.589052,-73.577601,https://www.stm.info/fr/recherche#stq=54985,0,,1
54986,54986,Jean-Talon / Villanelle,45.588768,-73.577584,https://www.stm.info/fr/recherche#stq=54986,0,,1
54987,54987,Lacordaire / Bourdaloue,45.583378,-73.577060,https://www.stm.info/fr/recherche#stq=54987,0,,1
54988,54988,Lacordaire / Bourdaloue,45.583177,-73.577555,https://www.stm.info/fr/recherche#stq=54988,0,,1
